DstPort,Protocol,Tag
12244,tcp,Tag_175
35264,icmp,Tag_16
23644,icmp,Tag_192
23644,udp,Tag_1
12244,icmp,Tag_176
35264,tcp,Tag_26
34756,tcp,Tag_71
35264,udp,Tag_91
12244,tcp,Tag_89
12244,udp,Tag_165
12244,udp,Tag_45
12244,icmp,Tag_58
35264,icmp,Tag_148
23644,icmp,Tag_200
35264,udp,Tag_192
23644,tcp,Tag_18
35264,udp,Tag_159
12244,icmp,Tag_150
35264,icmp,Tag_44
35264,icmp,Tag_161
35264,udp,Tag_158
35264,icmp,Tag_169
23644,udp,Tag_190
35264,udp,Tag_37
34756,tcp,Tag_135
35264,tcp,Tag_2
23644,udp,Tag_17
12244,tcp,Tag_48
35264,icmp,Tag_169
12244,icmp,Tag_112
34756,tcp,Tag_185
34756,udp,Tag_10
23644,tcp,Tag_191
23644,udp,Tag_178
12244,udp,Tag_188
34756,icmp,Tag_62
34756,icmp,Tag_191
35264,icmp,Tag_44
35264,udp,Tag_122
23644,udp,Tag_150
35264,tcp,Tag_103
23644,icmp,Tag_119
35264,icmp,Tag_102
23644,udp,Tag_37
12244,tcp,Tag_56
35264,icmp,Tag_187
35264,udp,Tag_154
35264,icmp,Tag_151
12244,tcp,Tag_190
23644,tcp,Tag_67
12244,udp,Tag_154
35264,udp,Tag_134
23644,tcp,Tag_173
34756,icmp,Tag_140
34756,udp,Tag_91
35264,udp,Tag_64
12244,tcp,Tag_110
34756,tcp,Tag_4
23644,tcp,Tag_58
23644,tcp,Tag_107
35264,icmp,Tag_23
35264,tcp,Tag_157
35264,tcp,Tag_56
35264,tcp,Tag_152
23644,tcp,Tag_84
23644,tcp,Tag_124
23644,tcp,Tag_80
23644,icmp,Tag_147
35264,udp,Tag_16
23644,icmp,Tag_141
35264,udp,Tag_92
23644,tcp,Tag_185
12244,icmp,Tag_87
35264,icmp,Tag_153
12244,tcp,Tag_25
12244,icmp,Tag_182
12244,icmp,Tag_136
35264,tcp,Tag_112
23644,udp,Tag_84
35264,icmp,Tag_111
34756,icmp,Tag_95
23644,icmp,Tag_68
12244,tcp,Tag_115
12244,icmp,Tag_6
35264,udp,Tag_111
12244,tcp,Tag_18
12244,icmp,Tag_169
35264,tcp,Tag_121
35264,tcp,Tag_143
35264,icmp,Tag_73
35264,tcp,Tag_96
34756,icmp,Tag_34
12244,icmp,Tag_27
34756,tcp,Tag_132
12244,icmp,Tag_117
23644,icmp,Tag_152
34756,tcp,Tag_6
34756,udp,Tag_120
35264,tcp,Tag_65
34756,icmp,Tag_65
35264,tcp,Tag_19
35264,icmp,Tag_143
34756,udp,Tag_127
35264,tcp,Tag_98
23644,tcp,Tag_189
34756,udp,Tag_96
12244,udp,Tag_126
35264,udp,Tag_4
35264,udp,Tag_105
35264,udp,Tag_27
35264,udp,Tag_196
12244,icmp,Tag_80
34756,udp,Tag_168
34756,udp,Tag_107
34756,udp,Tag_63
23644,udp,Tag_90
23644,tcp,Tag_138
12244,icmp,Tag_145
12244,icmp,Tag_42
34756,udp,Tag_19
35264,udp,Tag_115
23644,udp,Tag_1
35264,tcp,Tag_177
23644,tcp,Tag_132
23644,udp,Tag_123
35264,tcp,Tag_40
12244,udp,Tag_152
23644,udp,Tag_52
23644,tcp,Tag_182
35264,icmp,Tag_48
34756,udp,Tag_27
35264,udp,Tag_150
35264,udp,Tag_173
23644,udp,Tag_45
35264,udp,Tag_89
35264,tcp,Tag_157
35264,tcp,Tag_152
34756,icmp,Tag_41
12244,icmp,Tag_117
35264,udp,Tag_119
23644,udp,Tag_191
23644,tcp,Tag_1
35264,icmp,Tag_200
12244,icmp,Tag_136
34756,udp,Tag_175
34756,udp,Tag_164
12244,udp,Tag_112
12244,tcp,Tag_31
35264,tcp,Tag_162
12244,udp,Tag_103
23644,udp,Tag_181
35264,udp,Tag_113
12244,udp,Tag_182
23644,udp,Tag_71
34756,udp,Tag_58
23644,tcp,Tag_13
35264,udp,Tag_115
35264,icmp,Tag_152
12244,udp,Tag_49
12244,tcp,Tag_60
12244,udp,Tag_33
23644,tcp,Tag_144
35264,tcp,Tag_47
34756,icmp,Tag_64
35264,udp,Tag_158
35264,tcp,Tag_91
34756,icmp,Tag_163
23644,tcp,Tag_118
12244,udp,Tag_96
34756,tcp,Tag_133
23644,tcp,Tag_166
35264,icmp,Tag_19
35264,icmp,Tag_1
12244,icmp,Tag_71
23644,icmp,Tag_52
34756,icmp,Tag_166
23644,icmp,Tag_98
34756,udp,Tag_70
12244,icmp,Tag_9
23644,tcp,Tag_21
34756,icmp,Tag_67
35264,tcp,Tag_193
35264,tcp,Tag_90
35264,icmp,Tag_82
34756,udp,Tag_161
23644,icmp,Tag_91
12244,icmp,Tag_47
34756,udp,Tag_121
35264,udp,Tag_173
12244,icmp,Tag_49
23644,tcp,Tag_133
35264,icmp,Tag_174
12244,tcp,Tag_177
34756,tcp,Tag_63
34756,tcp,Tag_100
12244,udp,Tag_119
34756,udp,Tag_142
23644,icmp,Tag_155
12244,udp,Tag_59
35264,tcp,Tag_24
12244,tcp,Tag_58
23644,udp,Tag_45
12244,udp,Tag_168
12244,icmp,Tag_145
35264,tcp,Tag_109
35264,udp,Tag_161
35264,tcp,Tag_87
35264,icmp,Tag_119
35264,udp,Tag_162
23644,icmp,Tag_200
35264,icmp,Tag_176
35264,tcp,Tag_5
35264,udp,Tag_62
35264,tcp,Tag_21
23644,udp,Tag_78
35264,icmp,Tag_3
23644,udp,Tag_48
35264,tcp,Tag_131
12244,tcp,Tag_120
23644,udp,Tag_101
35264,icmp,Tag_9
12244,tcp,Tag_2
12244,tcp,Tag_101
34756,udp,Tag_146
34756,udp,Tag_128
34756,tcp,Tag_22
35264,udp,Tag_56
35264,udp,Tag_159
35264,udp,Tag_112
12244,udp,Tag_9
34756,tcp,Tag_163
12244,icmp,Tag_38
23644,icmp,Tag_148
23644,icmp,Tag_95
34756,udp,Tag_111
35264,tcp,Tag_166
12244,tcp,Tag_43
12244,tcp,Tag_13
23644,tcp,Tag_143
12244,tcp,Tag_180
23644,tcp,Tag_163
12244,icmp,Tag_186
23644,udp,Tag_99
12244,udp,Tag_200
34756,tcp,Tag_142
35264,udp,Tag_21
35264,icmp,Tag_75
35264,udp,Tag_198
12244,tcp,Tag_176
35264,tcp,Tag_48
35264,udp,Tag_2
35264,icmp,Tag_24
34756,udp,Tag_153
35264,udp,Tag_134
34756,udp,Tag_163
23644,tcp,Tag_188
35264,tcp,Tag_104
35264,icmp,Tag_166
12244,tcp,Tag_12
34756,tcp,Tag_153
12244,tcp,Tag_47
34756,udp,Tag_129
35264,udp,Tag_45
35264,tcp,Tag_150
35264,icmp,Tag_196
23644,udp,Tag_28
34756,icmp,Tag_107
23644,udp,Tag_7
12244,icmp,Tag_21
12244,icmp,Tag_165
35264,tcp,Tag_97
23644,icmp,Tag_141
12244,icmp,Tag_165
12244,icmp,Tag_56
34756,udp,Tag_76
35264,icmp,Tag_160
12244,icmp,Tag_28
12244,udp,Tag_140
23644,udp,Tag_107
35264,tcp,Tag_33
12244,udp,Tag_187
12244,udp,Tag_97
35264,udp,Tag_56
35264,udp,Tag_19
12244,udp,Tag_171
34756,icmp,Tag_94
35264,icmp,Tag_82
34756,tcp,Tag_109
23644,udp,Tag_77
35264,icmp,Tag_115
35264,icmp,Tag_94
23644,udp,Tag_132
12244,udp,Tag_82
12244,tcp,Tag_170
23644,tcp,Tag_7
34756,icmp,Tag_8
35264,icmp,Tag_61
34756,icmp,Tag_63
34756,tcp,Tag_36
23644,tcp,Tag_88
34756,udp,Tag_24
35264,udp,Tag_4
12244,icmp,Tag_130
35264,udp,Tag_27
34756,icmp,Tag_103
35264,tcp,Tag_87
35264,tcp,Tag_171
34756,tcp,Tag_36
12244,udp,Tag_21
12244,icmp,Tag_166
34756,tcp,Tag_113
23644,tcp,Tag_131
34756,icmp,Tag_121
12244,icmp,Tag_139
34756,icmp,Tag_94
35264,icmp,Tag_16
12244,udp,Tag_77
34756,udp,Tag_47
35264,icmp,Tag_32
35264,udp,Tag_160
23644,udp,Tag_2
35264,udp,Tag_174
34756,tcp,Tag_119
35264,tcp,Tag_58
35264,udp,Tag_23
23644,icmp,Tag_4
35264,tcp,Tag_105
35264,udp,Tag_187
34756,udp,Tag_140
35264,tcp,Tag_136
34756,icmp,Tag_125
12244,udp,Tag_91
12244,icmp,Tag_162
35264,icmp,Tag_48
34756,tcp,Tag_200
35264,tcp,Tag_154
35264,icmp,Tag_182
35264,icmp,Tag_5
12244,icmp,Tag_141
34756,udp,Tag_124
35264,udp,Tag_127
35264,icmp,Tag_187
35264,icmp,Tag_23
35264,tcp,Tag_198
35264,icmp,Tag_43
34756,icmp,Tag_29
23644,tcp,Tag_64
34756,tcp,Tag_58
35264,icmp,Tag_187
23644,icmp,Tag_47
35264,udp,Tag_97
